Change,Close,Date,Momentum,open
0.000584106,561.53241,6/24/2014,0,561.5329941
0.024848516,575.485657,6/25/2014,1,575.4608085
0.004579607,572.850159,6/26/2014,0,572.8547386
0.002152771,574.083374,6/27/2014,1,574.0812212
0.003395465,572.134094,6/30/2014,0,572.1374895
0.012845957,579.483704,7/1/2014,1,579.470858
0.000574979,579.150513,7/2/2014,0,579.151088
0.004112743,581.53241,7/3/2014,1,581.5282973
0.004241261,579.065979,7/7/2014,0,579.0702203
0.019166966,567.967041,7/8/2014,0,567.986208
0.008737669,572.929749,7/9/2014,1,572.9210113
0.008644725,567.976929,7/10/2014,0,567.9855737
0.014148157,576.012756,7/11/2014,1,575.9986078
0.009824218,581.671631,7/14/2014,1,581.6618068
0.000153829,581.582153,7/15/2014,0,581.5823068
0.00362528,579.473755,7/16/2014,0,579.4773803
0.015326259,570.59259,7/17/2014,0,570.6079163
0.037212569,591.825806,7/18/2014,1,591.7885934
0.009427242,586.246521,7/21/2014,0,586.2559482
0.008940181,591.487671,7/22/2014,1,591.4787308
0.002084938,592.720886,7/23/2014,1,592.7188011
0.00441287,590.105286,7/24/2014,0,590.1096989
0.007297572,585.79895,7/25/2014,0,585.8062476
0.002682405,587.3703,7/28/2014,1,587.3676176
0.008449026,582.407593,7/29/2014,0,582.416042
0.003090808,584.207703,7/30/2014,1,584.2046122
0.026931278,568.474243,7/31/2014,0,568.5011743
0.009674591,562.974487,8/1/2014,0,562.9841616
0.012507245,570.015747,8/4/2014,1,570.0032398
0.014097554,561.979919,8/5/2014,0,561.9940166
0.002307689,563.276794,8/6/2014,1,563.2744863
0.005321535,560.279297,8/7/2014,0,560.2846185
0.009603125,565.659729,8/8/2014,1,565.6501259
0.001564886,564.774536,8/11/2014,0,564.7761009
0.009068798,559.65271,8/12/2014,0,559.6617788
0.021413514,571.636841,8/13/2014,1,571.6154275
0.000226145,571.507568,8/14/2014,0,571.5077941
0.00203608,570.343933,8/15/2014,0,570.3459691
0.015135723,578.976501,8/18/2014,1,578.9613653
0.008073309,583.650757,8/19/2014,1,583.6426837
0.004038365,581.293762,8/20/2014,0,581.2978004
0.001916227,580.179871,8/21/2014,0,580.1817872
0.00138854,579.374268,8/22/2014,0,579.3756565
0.004051001,577.027222,8/25/2014,0,577.031273
0.004033103,574.700012,8/26/2014,0,574.7040451
0.011871428,567.877502,8/27/2014,0,567.8893734
0.003152372,566.087341,8/28/2014,0,566.0904934
0.004216491,568.474243,8/29/2014,1,568.4700265
0.0100245,574.172913,9/2/2014,1,574.1628885
0.001056525,574.779541,9/3/2014,1,574.7784845
0.006990409,578.797485,9/4/2014,1,578.7904946
0.00704491,582.875061,9/5/2014,1,582.8680161
0.006210689,586.495117,9/8/2014,1,586.4889063
0.014769693,577.832764,9/9/2014,0,577.8475337
0.003597152,579.911316,9/10/2014,1,579.9077188
0.00300118,578.170898,9/11/2014,0,578.1738992
0.009856375,572.472229,9/12/2014,0,572.4820854
0.0043779,569.966003,9/15/2014,0,569.9703809
0.011952574,576.778564,9/16/2014,1,576.7666114
0.00831106,581.572205,9/17/2014,1,581.5638939
0.007695351,586.047607,9/18/2014,1,586.0399116
0.011556684,592.820374,9/19/2014,1,592.8088173
0.014612209,584.157959,9/22/2014,0,584.1725712
0.01062362,577.952087,9/23/2014,0,577.9627106
0.011804629,584.774597,9/24/2014,1,584.7627924
0.021990206,571.915283,9/25/2014,0,571.9372732
0.003547501,573.944153,9/26/2014,1,573.9406055
0.001282289,573.208191,9/29/2014,0,573.2094733
0.001734984,574.202698,9/30/2014,1,574.200963
0.015744062,565.162415,10/1/2014,0,565.1781591
0.003185118,566.962524,10/2/2014,1,566.9593389
0.009121538,572.134094,10/3/2014,1,572.1249725
0.003598204,574.192749,10/6/2014,1,574.1891508
0.023573133,560.657227,10/7/2014,0,560.6808001
0.015539079,569.369324,10/8/2014,1,569.3537849
0.020296945,557.812866,10/9/2014,0,557.8331629
0.029222013,541.512451,10/10/2014,0,541.541673
0.020716648,530.294128,10/13/2014,0,530.3148446
0.008870856,534.998291,10/14/2014,1,534.9894201
0.014704271,527.131531,10/15/2014,0,527.1462353
0.010414492,521.641724,10/16/2014,0,521.6521385
0.025433221,508.374695,10/17/2014,0,508.4001282
0.018917397,517.991821,10/20/2014,1,517.9729036
0.010943848,523.660645,10/21/2014,1,523.6497012
0.011717951,529.796875,10/22/2014,1,529.785157
0.021155984,541.005249,10/23/2014,1,540.984093
0.007720816,536.828247,10/24/2014,0,536.8359678
0.001834028,537.812805,10/27/2014,1,537.810971
0.015034173,545.898376,10/28/2014,1,545.8833418
0.00078332,546.325989,10/29/2014,1,546.3252057
0.001784045,547.300659,10/30/2014,1,547.298875
0.01593648,556.022705,10/31/2014,1,556.0067685
0.006904265,552.183777,11/3/2014,0,552.1906813
0.001999121,551.079895,11/4/2014,0,551.0818941
0.01478055,542.934631,11/5/2014,0,542.9494116
0.007107235,539.075867,11/6/2014,0,539.0829742
0.001900202,538.051514,11/7/2014,0,538.0534142
0.011977626,544.496094,11/10/2014,1,544.4841164
0.005114211,547.280762,11/11/2014,1,547.2756478
0.00541529,544.317078,11/12/2014,0,544.3224933
0.003526428,542.397583,11/13/2014,0,542.4011094
0.001796854,541.422974,11/14/2014,0,541.4247709
0.014493037,533.576111,11/17/2014,0,533.590604
0.002758602,532.104187,11/18/2014,0,532.1069456
0.003663343,534.053467,11/19/2014,1,534.0498037
0.004022432,531.905273,11/20/2014,0,531.9092954
0.004992235,534.560669,11/21/2014,1,534.5556768
0.003293127,536.321045,11/24/2014,1,536.3177519
0.00335629,538.121094,11/25/2014,1,538.1177377
0.001312188,537.414978,11/26/2014,0,537.4162902
0.002701871,538.867004,11/28/2014,1,538.8643021
0.014820139,530.88092,12/1/2014,0,530.8957401
9.37E-05,530.831177,12/2/2014,0,530.8312707
0.004552647,528.41449,12/3/2014,0,528.4190426
0.011273868,534.371765,12/4/2014,1,534.3604911
0.02242658,522.387634,12/5/2014,0,522.4100606
0.003274526,524.098206,12/8/2014,1,524.0949315
0.012125785,530.453308,12/9/2014,1,530.4411822
0.01370541,523.183228,12/10/2014,0,523.1969334
0.004334195,525.450806,12/11/2014,1,525.4464718
0.018321555,515.82373,12/12/2014,0,515.8420516
0.009370323,510.990295,12/15/2014,0,510.9996653
0.035831064,492.680969,12/16/2014,0,492.7168001
0.01917683,502.129028,12/17/2014,1,502.1098512
0.012299679,508.305054,12/18/2014,1,508.2927543
0.010272007,513.526367,12/19/2014,1,513.516095
0.016500397,521.999756,12/22/2014,1,521.9832556
0.010897938,527.688477,12/23/2014,1,527.6775791
0.003430166,525.878418,12/24/2014,0,525.8818482
0.009947664,531.10968,12/26/2014,1,531.0997323
0.006928414,527.429932,12/29/2014,0,527.4368604
0.000169647,527.519409,12/30/2014,1,527.5192394
0.007578842,523.521423,12/31/2014,0,523.5290018
0.003025051,521.937744,1/2/2015,0,521.9407691
0.020845641,511.057617,1/5/2015,0,511.0784626
0.02317707,499.212799,1/6/2015,0,499.2359761
0.001713269,498.357513,1/7/2015,0,498.3592263
0.00315306,499.928864,1/8/2015,1,499.9257109
0.012950575,493.454498,1/9/2015,0,493.4674486
0.007295889,489.854309,1/12/2015,0,489.8616049
0.00736982,493.464447,1/13/2015,1,493.4570772
0.009452225,498.128784,1/14/2015,1,498.1193318
0.00183677,499.043732,1/15/2015,1,499.0418952
0.012535142,505.299316,1/16/2015,1,505.2867809
0.002322491,504.125763,1/20/2015,0,504.1280855
0.021976679,515.204773,1/21/2015,1,515.1827963
0.031561352,531.465332,1/22/2015,1,531.4337706
0.010404331,536.994873,1/23/2015,1,536.9844687
0.008778575,532.280823,1/26/2015,0,532.2896016
0.030978493,515.791565,1/27/2015,0,515.8225435
0.016639985,507.208801,1/28/2015,0,507.225441
0.001294147,507.865204,1/29/2015,1,507.8639099
0.046723815,531.594604,1/30/2015,1,531.5478802
0.011299885,525.587646,2/2/2015,0,525.5989459
